Author,Date,Location,Text
OshawaLadyGens,2020-03-13 00:48:50,Oshawa Ontario,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials
RSigus,2020-03-13 00:48:50,YouTuberayZOutdoorAdventures,RT JustinTrudeau POTUS Canada is the only country in the world that has no travel restrictions for Chinese Iranians Italians or any place with Coronavirus outbreakOut of 142 cases in Canada 80 of them came from these counties The balance were people who were contacted by these people
SoxsoxsSt,2020-03-13 00:48:49,Corner Brook Newfoundland and,Peterlwhittle NLESDCA Hockey canada takes a big step all hockey canada event cancelled
GagneRenaud,2020-03-13 00:48:48,Winnipeg,TSN is awful They had a doctor on to discuss the China Coronavirus COVID19 and they ask him Should Canada shut down the US border and stop Americans entering The question should have been Should Trudeau stop entries from the 4 countries that have 90 of the cases
ChihuahuaCheech,2020-03-13 00:48:48,NAN,RT There is now zero excuse for the ongoing refusal to shut Canadas borders The only explanation is that the Trudeau government is afraid to shut the borders because they will then have to explain why they left them open for so long
HardKnockJimmy,2020-03-13 00:48:48,Republic of Western Canada,RT Swifter action is needed in Canada ASAPMy latest column in the Sun papers
hdvry,2020-03-13 00:48:47,NAN,RT fothergilljr jamesholden007 WhatsUpCanada What he and Chris ingvaldson did in BC would technically be classified as a grooming gang right
TalkerTeacher,2020-03-13 00:48:47,NAN,RT BREAKING CDCofBC Dr Bonnie Henry strongly advises against all nonessential travel outside of Canada For those who choose to go anyway new requirement to stay home from school or work for 14 days after return This will spoil a lot of spring break plans COVID19 Covid19
astralruby,2020-03-13 00:49:30,"London, Ontario",RT My spouse pointed out when I wondered whether Zoom could handle every university class in the country that I coul
kinibottommintd,2020-03-13 00:49:30,PantRussSuit0208 BA06+.'10 DemsClintonRandwicknot-desirable- bottomtheweaver.6869747576 9899061222+.-race-DeLormier-S.AppletonWisc_MiamiS.FL,CIAYale University Medical School DrJerry DrCecilYale University Medical School DrMichael OlverYale Unive
fieldworkat72,2020-03-13 00:49:06,,RT LizzieCClarke DoctorYasmin It is not a difficult test The only reason we arent doing it on a large scale is tha
